"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2023-12-04","92.963","91.352","92.999","91.208","9.06M","1.76%"
"2023-12-03","91.352","91.196","93.157","90.708","6.61M","0.17%"
"2023-12-02","91.195","90.054","91.400","89.828","3.20M","1.27%"
"2023-12-01","90.054","89.796","90.797","89.327","5.50M","0.29%"
"2023-11-30","89.793","89.889","90.073","88.250","4.75M","-0.11%"
"2023-11-29","89.889","89.889","91.080","89.246","4.95M","0.00%"
"2023-11-28","89.889","90.005","90.880","88.731","6.37M","-0.13%"
"2023-11-27","90.005","92.369","92.479","88.761","7.38M","-2.56%"
"2023-11-26","92.369","93.260","95.388","91.113","8.90M","-0.96%"
"2023-11-25","93.260","93.013","93.298","92.500","3.68M","0.27%"
"2023-11-24","93.013","92.895","93.593","92.200","5.84M","0.13%"
"2023-11-23","92.895","91.301","93.300","90.430","5.34M","1.75%"
"2023-11-22","91.301","86.178","91.988","86.047","8.58M","5.94%"
"2023-11-21","86.178","90.966","91.622","85.987","11.55M","-5.26%"
"2023-11-20","90.966","93.969","94.056","90.380","6.14M","-3.20%"
"2023-11-19","93.969","91.630","94.290","90.302","7.18M","2.55%"
"2023-11-18","91.630","91.926","92.100","88.701","5.72M","-0.32%"
"2023-11-17","91.920","92.664","94.333","88.000","10.94M","-0.80%"
"2023-11-16","92.664","98.182","99.000","91.399","13.37M","-5.62%"
"2023-11-15","98.182","95.099","98.400","94.670","9.74M","3.24%"
"2023-11-14","95.099","101.860","102.015","92.810","16.31M","-6.64%"
"2023-11-13","101.860","100.483","112.800","97.700","25.98M","1.37%"
"2023-11-12","100.483","100.548","101.800","98.500","9.12M","-0.06%"
"2023-11-11","100.548","100.038","104.000","97.600","14.31M","0.51%"
"2023-11-10","100.038","101.079","101.692","96.687","12.99M","-1.03%"
"2023-11-09","101.079","103.575","106.800","96.500","26.14M","-2.43%"
"2023-11-08","103.596","102.834","105.240","101.266","14.03M","0.74%"
"2023-11-07","102.834","107.223","107.282","98.570","26.39M","-4.09%"
"2023-11-06","107.223","98.787","109.430","98.503","34.41M","8.54%"
"2023-11-05","98.787","92.102","99.000","91.967","20.30M","7.26%"
"2023-11-04","92.102","91.752","92.541","91.271","3.90M","0.38%"
"2023-11-03","91.752","91.413","92.113","89.400","7.18M","0.37%"
"2023-11-02","91.413","91.832","94.113","89.121","13.78M","-0.46%"
"2023-11-01","91.832","90.789","92.929","88.135","13.53M","1.15%"
"2023-10-31","90.789","86.378","92.525","85.021","22.77M","5.11%"
"2023-10-30","86.378","83.344","87.096","82.500","13.50M","3.64%"
"2023-10-29","83.344","81.727","84.030","81.192","5.38M","1.98%"
"2023-10-28","81.727","81.352","82.462","81.003","3.59M","0.47%"
"2023-10-27","81.343","83.407","84.111","80.606","9.70M","-2.47%"
"2023-10-26","83.407","83.451","85.534","81.926","12.00M","-0.05%"
"2023-10-25","83.451","83.583","84.587","81.111","10.96M","-0.16%"
"2023-10-24","83.583","81.700","87.300","79.942","24.72M","2.30%"
"2023-10-23","81.700","78.129","82.571","77.781","14.38M","4.57%"
"2023-10-22","78.129","77.980","78.379","76.850","5.13M","0.19%"
"2023-10-21","77.980","77.107","79.518","76.654","6.61M","1.13%"
"2023-10-20","77.107","77.872","79.358","76.333","12.79M","-0.98%"
"2023-10-19","77.872","73.210","78.450","71.755","11.95M","6.37%"
"2023-10-18","73.210","73.699","73.860","72.969","4.35M","-0.66%"
"2023-10-17","73.699","74.496","74.504","72.851","4.75M","-1.07%"
"2023-10-16","74.496","73.050","76.126","72.767","8.66M","1.98%"
"2023-10-15","73.050","73.025","73.432","72.766","2.27M","0.03%"
"2023-10-14","73.025","72.770","73.251","72.589","2.68M","0.35%"
"2023-10-13","72.770","72.553","73.545","71.844","5.08M","0.30%"
"2023-10-12","72.553","73.071","73.072","71.009","6.70M","-0.71%"
"2023-10-11","73.072","74.013","74.092","71.679","9.07M","-1.27%"
"2023-10-10","74.013","74.900","75.058","73.518","4.07M","-1.18%"
"2023-10-09","74.900","77.369","77.700","73.800","8.55M","-3.19%"
"2023-10-08","77.369","78.101","78.300","77.250","2.62M","-0.94%"
"2023-10-07","78.101","78.546","78.546","77.872","2.18M","-0.57%"
"2023-10-06","78.546","77.968","78.993","77.502","4.61M","0.74%"
"2023-10-05","77.968","79.576","79.577","77.000","6.23M","-2.02%"
"2023-10-04","79.576","80.400","80.900","77.800","10.77M","-1.02%"
"2023-10-03","80.400","76.930","81.630","75.700","10.76M","4.51%"
"2023-10-02","76.930","78.184","78.780","76.601","7.63M","-1.60%"
"2023-10-01","78.184","77.025","78.543","76.869","4.76M","1.50%"
"2023-09-30","77.025","77.902","77.925","76.743","4.76M","-1.13%"
"2023-09-29","77.902","75.988","81.780","75.402","16.95M","2.52%"
"2023-09-28","75.988","74.801","75.988","74.100","5.37M","1.59%"
"2023-09-27","74.801","74.872","75.600","74.262","4.65M","-0.09%"
"2023-09-26","74.872","75.372","75.634","74.001","4.97M","-0.66%"
"2023-09-25","75.372","74.738","75.534","73.151","5.74M","0.85%"
"2023-09-24","74.738","75.449","76.097","74.400","3.65M","-0.94%"
"2023-09-23","75.449","76.145","76.332","75.156","2.25M","-0.91%"
"2023-09-22","76.145","75.105","76.799","74.696","7.99M","1.38%"
"2023-09-21","75.105","77.355","77.375","74.260","8.03M","-2.91%"
"2023-09-20","77.355","75.925","77.895","75.213","7.35M","1.88%"
"2023-09-19","75.925","74.364","76.376","74.051","6.78M","2.10%"
"2023-09-18","74.364","73.015","74.910","72.432","6.92M","1.85%"
"2023-09-17","73.015","74.000","74.125","72.649","2.77M","-1.33%"
"2023-09-16","74.000","74.134","74.532","73.800","3.65M","-0.18%"
